2dmatpedia id,"2dmatpedia band structure (BG, VBM, CBM)","preds band structure (BG, Direc BG, VBM, CBM)"
2dm-88,"[0.0, nan, nan]","[0.029578089714050293, 0.06478571891784668, -4.432101249694824, -4.39466667175293]"
2dm-89,"[5.178400039672852, -6.879899978637695, -1.7015000581741333]","[6.898610591888428, 6.9374284744262695, -9.730525016784668, -2.831237316131592]"
2dm-90,"[0.9872000217437744, -4.883900165557861, -3.896699905395508]","[1.4951324462890625, 1.8635632991790771, -6.831480026245117, -5.332272052764893]"
2dm-91,"[5.847499847412109, -5.549799919128418, 0.2976999282836914]","[6.940854549407959, 7.255649566650391, -8.839388847351074, -1.895338535308838]"
2dm-92,"[0.36479997634887695, -2.827899932861328, -2.463099956512451]","[1.3589061498641968, 1.4895031452178955, -5.039098739624023, -3.6951513290405273]"
2dm-93,"[3.406799793243408, -4.7052001953125, -1.2984000444412231]","[5.45860481262207, 5.506124496459961, -7.554041385650635, -2.0976080894470215]"
2dm-94,"[0.0, nan, nan]","[0.35694611072540283, 0.4259728193283081, -4.990097999572754, -4.594793319702148]"
2dm-95,"[0.0, nan, nan]","[0.2258995771408081, 0.43453502655029297, -4.498380661010742, -4.304289817810059]"
2dm-96,"[0.0, nan, nan]","[0.07965898513793945, 0.09986376762390137, -4.050500869750977, -3.9636411666870117]"
2dm-97,"[0.6942999958992004, -3.4126999378204346, -2.718400001525879]","[1.5346050262451172, 1.618147373199463, -6.03008508682251, -4.465121269226074]"
2dm-98,"[5.153900146484375, -5.802000045776367, -0.6481000185012817]","[5.616628170013428, 5.917947769165039, -7.902334690093994, -2.2833685874938965]"
2dm-99,"[0.0, nan, nan]","[0.05173170566558838, 0.1065211296081543, -4.999073028564453, -4.984163761138916]"
2dm-100,"[0.19950002431869507, -2.651400089263916, -2.451900005340576]","[0.9120794534683228, 1.2379980087280273, -5.522822380065918, -4.624823093414307]"
2dm-101,"[0.0, nan, nan]","[0.01705193519592285, 0.004058122634887695, -4.766124248504639, -4.7314534187316895]"
2dm-102,"[0.0, nan, nan]","[0.09290003776550293, 0.12389850616455078, -4.3276166915893555, -4.171520709991455]"
2dm-103,"[0.22149991989135742, -3.884200096130371, -3.6626999378204346]","[2.1056172847747803, 2.095759868621826, -7.305741310119629, -5.1510796546936035]"
2dm-104,"[2.531899929046631, -3.5332000255584717, -1.0012999773025513]","[3.3909449577331543, 3.6970412731170654, -6.4768218994140625, -3.0628671646118164]"
2dm-105,"[0.0, nan, nan]","[0.013654708862304688, 0.007993936538696289, -4.565749168395996, -4.555834770202637]"
2dm-106,"[0.7494000196456909, -3.2600998878479004, -2.510699987411499]","[1.654569149017334, 1.7710402011871338, -6.224483966827393, -4.575676918029785]"
2dm-107,"[2.2969000339508057, -4.5142998695373535, -2.217400074005127]","[3.5343990325927734, 3.561373472213745, -7.361166000366211, -3.8263356685638428]"
2dm-108,"[0.7531999945640564, -4.07889986038208, -3.325700044631958]","[2.236605644226074, 2.636826276779175, -6.938366889953613, -4.696281433105469]"
2dm-109,"[0.6480000019073486, -5.9456000328063965, -5.297599792480469]","[1.8410438299179077, 2.1499338150024414, -7.951129913330078, -6.085201263427734]"
2dm-110,"[0.0, nan, nan]","[0.10328459739685059, 0.16763174533843994, -4.7805256843566895, -4.62050724029541]"
2dm-111,"[4.889800071716309, -8.535900115966797, -3.6461000442504883]","[6.566555023193359, 6.712137222290039, -11.517284393310547, -4.9525957107543945]"
2dm-112,"[0.0, nan, nan]","[0.027430295944213867, 0.012937784194946289, -4.5999555587768555, -4.506410598754883]"
2dm-113,"[0.8737000226974487, -1.6656999588012695, -0.7920000553131104]","[0.5274999141693115, 0.8660761117935181, -4.272576332092285, -3.6858644485473633]"
2dm-114,"[0.0, nan, nan]","[0.07586789131164551, 0.07677030563354492, -4.830814361572266, -4.725569725036621]"
2dm-115,"[0.7010999917984009, -1.6150999069213867, -0.9140000343322754]","[1.2375664710998535, 1.2402000427246094, -4.9497528076171875, -3.7040510177612305]"
2dm-116,"[1.4140000343322754, -4.390900135040283, -2.976900100708008]","[2.0577423572540283, 2.532120943069458, -6.228299140930176, -4.17474889755249]"
2dm-117,"[1.1633000373840332, -3.3378000259399414, -2.174499988555908]","[1.7955608367919922, 2.0532312393188477, -5.35735559463501, -3.5614285469055176]"
