2dmatpedia id,"2dmatpedia band structure (BG, VBM, CBM)","preds band structure (BG, Direc BG, VBM, CBM)"
2dm-2849,"[0.0, nan, nan]","[-0.0010385513305664062, 0.005264759063720703, -4.373046875, -4.359959125518799]"
2dm-2850,"[0.0, nan, nan]","[1.3697421550750732, 1.4478565454483032, -6.861636638641357, -5.439087390899658]"
2dm-2851,"[0.0, nan, nan]","[2.819788694381714, 2.819753885269165, -7.799378871917725, -4.96335506439209]"
2dm-2852,"[0.0, nan, nan]","[1.124583125114441, 1.2255756855010986, -6.991080284118652, -5.828008651733398]"
2dm-2853,"[0.0, nan, nan]","[0.3613346815109253, 0.43868887424468994, -5.3959455490112305, -4.892605304718018]"
2dm-2854,"[0.0, nan, nan]","[0.35655713081359863, 0.6183022260665894, -6.861884117126465, -6.3524370193481445]"
2dm-2855,"[0.8572999835014343, -3.170300006866455, -2.312999963760376]","[1.5190800428390503, 1.5565087795257568, -6.662986755371094, -5.143977165222168]"
2dm-2856,"[0.0, nan, nan]","[1.1646058559417725, 1.3056468963623047, -5.199256420135498, -4.023128032684326]"
2dm-2857,"[0.32659995555877686, -0.35969996452331543, -0.03309988975524902]","[0.9051097631454468, 0.9826632738113403, -5.165700435638428, -4.2615065574646]"
2dm-2858,"[0.013000011444091797, -2.3538999557495117, -2.34089994430542]","[1.3719537258148193, 1.6674091815948486, -5.628698348999023, -4.27093505859375]"
2dm-2859,"[1.4077999591827393, -2.66129994392395, -1.253499984741211]","[2.3719491958618164, 2.620408535003662, -6.372903347015381, -4.000560760498047]"
2dm-2860,"[0.32630008459091187, -1.294100046157837, -0.9678000211715698]","[1.3402423858642578, 1.4631739854812622, -5.785075664520264, -4.430095195770264]"
2dm-2861,"[0.0, nan, nan]","[0.013805747032165527, 0.024378538131713867, -4.369095325469971, -4.330038070678711]"
2dm-2862,"[4.367199897766113, -5.212800025939941, -0.8456000089645386]","[6.379128932952881, 6.324039459228516, -8.699636459350586, -2.3188178539276123]"
2dm-2863,"[0.0, nan, nan]","[0.03723621368408203, 0.04019594192504883, -4.289220809936523, -4.197951793670654]"
2dm-2864,"[0.0, nan, nan]","[0.007376670837402344, 0.03388404846191406, -4.280489921569824, -4.277698040008545]"
2dm-2865,"[0.0, nan, nan]","[0.021088838577270508, 0.035253047943115234, -4.299253463745117, -4.251188278198242]"
2dm-2866,"[8.282400131225586, -9.100700378417969, -0.8183000087738037]","[9.753194808959961, 9.9060697555542, -11.657098770141602, -1.9033315181732178]"
2dm-2867,"[0.0, nan, nan]","[1.2262628078460693, 1.400100827217102, -6.62905216217041, -5.369865417480469]"
2dm-2868,"[2.375, -5.300300121307373, -2.925299882888794]","[3.8981354236602783, 4.260128974914551, -8.14881420135498, -4.2595438957214355]"
2dm-2869,"[0.0, nan, nan]","[0.012259244918823242, 0.009300708770751953, -4.325382232666016, -4.300446510314941]"
2dm-2870,"[0.0, nan, nan]","[0.01719963550567627, 0.029173851013183594, -4.191987991333008, -4.141057968139648]"
2dm-2871,"[0.0, nan, nan]","[1.1455940008163452, 1.2857885360717773, -5.985970497131348, -4.825984954833984]"
2dm-2872,"[0.001799941062927246, -1.9481000900268555, -1.9463000297546387]","[1.6097939014434814, 1.5818684101104736, -5.9949541091918945, -4.370755672454834]"
2dm-2873,"[0.7901999950408936, -2.2177000045776367, -1.4275000095367432]","[1.2477741241455078, 1.8637727499008179, -4.333595275878906, -3.0664734840393066]"
2dm-6455,"[0.0, nan, nan]","[0.019140005111694336, 0.015313863754272461, -4.374344348907471, -4.296018600463867]"
2dm-2875,"[0.0, nan, nan]","[2.0444681644439697, 2.0052952766418457, -6.8394012451171875, -4.764725208282471]"
2dm-2876,"[0.0, nan, nan]","[0.019089698791503906, 0.046376943588256836, -5.4941205978393555, -5.443655014038086]"
2dm-2877,"[0.0, nan, nan]","[1.571491003036499, 1.7206416130065918, -6.885812759399414, -5.291184902191162]"
2dm-2878,"[0.0, nan, nan]","[1.2525031566619873, 1.7326250076293945, -5.278592586517334, -3.9795215129852295]"
2dm-6456,"[0.0, nan, nan]","[0.045557618141174316, 0.1802058219909668, -4.391066551208496, -4.341606616973877]"
2dm-2880,"[0.0, nan, nan]","[1.2933223247528076, 1.4083220958709717, -6.271276473999023, -4.9461212158203125]"
2dm-2881,"[0.0, nan, nan]","[0.022678852081298828, 0.018038034439086914, -4.254208564758301, -4.193591594696045]"
2dm-2882,"[6.147600173950195, -4.714900016784668, 1.4326999187469482]","[8.120903015136719, 8.08408260345459, -9.667598724365234, -1.5495073795318604]"
2dm-2883,"[0.0, nan, nan]","[0.02691662311553955, 0.02980804443359375, -4.394662857055664, -4.31398868560791]"
2dm-2884,"[6.524799823760986, -8.166199684143066, -1.6413999795913696]","[8.185930252075195, 8.212688446044922, -10.77962875366211, -2.569699287414551]"
2dm-2885,"[0.0, nan, nan]","[0.013810992240905762, 0.014188528060913086, -4.401191234588623, -4.356199264526367]"
2dm-2886,"[0.0, nan, nan]","[0.8225219249725342, 1.1272859573364258, -6.896204471588135, -5.968118190765381]"
2dm-2887,"[0.0, nan, nan]","[1.1962368488311768, 1.4149408340454102, -6.875394821166992, -5.628403186798096]"
2dm-2888,"[0.11090004444122314, -2.8873000144958496, -2.776400089263916]","[1.3015620708465576, 1.4298417568206787, -5.750965595245361, -4.440423965454102]"
2dm-2889,"[0.0, nan, nan]","[0.3258110284805298, 0.40544354915618896, -5.014518737792969, -4.6177520751953125]"
2dm-2890,"[3.756700038909912, -3.998300075531006, -0.24160003662109375]","[5.108785629272461, 5.142673492431641, -7.555328845977783, -2.4501733779907227]"
2dm-2891,"[0.0, nan, nan]","[0.2085261344909668, 0.2442619800567627, -4.950512886047363, -4.652780532836914]"
2dm-2892,"[0.022799968719482422, -2.509999990463257, -2.4872000217437744]","[2.074079751968384, 2.2868282794952393, -5.699863433837891, -3.625211715698242]"
2dm-2893,"[0.0, nan, nan]","[0.1699153184890747, 0.18683063983917236, -5.166266441345215, -4.972299575805664]"
2dm-2894,"[0.0, nan, nan]","[0.6801185607910156, 1.123511552810669, -4.998645782470703, -4.263501167297363]"
2dm-2895,"[0.5942999720573425, -2.7253000736236572, -2.13100004196167]","[1.6605336666107178, 1.8386921882629395, -6.141467571258545, -4.4705681800842285]"
2dm-2896,"[0.13860005140304565, -5.698500156402588, -5.559899806976318]","[2.2777771949768066, 2.3334014415740967, -8.379693984985352, -6.0695319175720215]"
2dm-2897,"[0.0, nan, nan]","[0.3746061325073242, 0.4894827604293823, -5.309562683105469, -4.824123382568359]"
2dm-2898,"[0.2045000195503235, -0.6898999214172363, -0.4853999614715576]","[0.9503912925720215, 1.0213440656661987, -5.278926849365234, -4.328420162200928]"
2dm-2899,"[0.0, nan, nan]","[0.33823132514953613, 0.45281660556793213, -5.671575546264648, -5.279344081878662]"
2dm-2900,"[0.5792999863624573, -3.4491000175476074, -2.869800090789795]","[1.9519635438919067, 1.9533571004867554, -6.561300754547119, -4.613741397857666]"
2dm-2901,"[0.0, nan, nan]","[0.5854771137237549, 0.7073484659194946, -5.0772552490234375, -4.457775115966797]"
2dm-2902,"[0.0, nan, nan]","[0.836394190788269, 0.8514195680618286, -5.054683208465576, -4.144718647003174]"
2dm-2903,"[0.0, nan, nan]","[1.401418685913086, 1.5395817756652832, -6.366374969482422, -4.83941650390625]"
2dm-2904,"[0.0, nan, nan]","[0.7462363243103027, 0.9020426273345947, -5.729659080505371, -4.950964450836182]"
2dm-2905,"[0.045799970626831055, -0.7807998657226562, -0.7350000143051147]","[0.01639723777770996, 0.02328777313232422, -4.3124494552612305, -4.268867492675781]"
2dm-2906,"[0.12890005111694336, -1.987800121307373, -1.8588999509811401]","[0.5802450180053711, 0.7552276849746704, -5.021544456481934, -4.4484782218933105]"
2dm-2907,"[0.0, nan, nan]","[0.09042859077453613, 0.08107256889343262, -3.8309099674224854, -3.6978163719177246]"
2dm-2908,"[0.0, nan, nan]","[0.010491132736206055, 0.013913869857788086, -4.513947010040283, -4.425051212310791]"
2dm-2909,"[0.9052000045776367, -5.485499858856201, -4.5802998542785645]","[1.842405915260315, 2.080857753753662, -8.689043045043945, -6.835677146911621]"
2dm-2910,"[0.0, nan, nan]","[0.01021432876586914, 0.014396905899047852, -4.610315322875977, -4.572021484375]"
2dm-2911,"[1.9238998889923096, -6.0690999031066895, -4.145199775695801]","[3.766897201538086, 3.781723976135254, -9.278556823730469, -5.515717029571533]"
2dm-2912,"[4.632199764251709, -5.150599956512451, -0.5183999538421631]","[5.652926445007324, 5.836465835571289, -7.973798751831055, -2.320831775665283]"
2dm-2913,"[1.4931999444961548, -5.732900142669678, -4.239699840545654]","[2.679964065551758, 2.738588333129883, -8.540886878967285, -5.863929748535156]"
2dm-6457,"[0.0, nan, nan]","[0.03487396240234375, 0.048667192459106445, -4.116629600524902, -4.075113296508789]"
2dm-2915,"[0.0, nan, nan]","[1.6141743659973145, 1.7134969234466553, -7.438037872314453, -5.828973770141602]"
2dm-2916,"[0.6074000000953674, -4.134200096130371, -3.5267999172210693]","[2.0564475059509277, 2.2459027767181396, -7.086759090423584, -5.011137008666992]"
2dm-2917,"[0.048500001430511475, -0.24019980430603027, -0.19169998168945312]","[0.7404597997665405, 0.8108665943145752, -5.025888442993164, -4.292906761169434]"
2dm-2918,"[0.3652999997138977, -0.7518999576568604, -0.3866000175476074]","[1.0905942916870117, 1.169808268547058, -5.272721290588379, -4.1822381019592285]"
2dm-2919,"[0.0, nan, nan]","[0.24461817741394043, 0.25718116760253906, -5.498154163360596, -5.245752811431885]"
2dm-2920,"[0.64410001039505, -4.963900089263916, -4.319799900054932]","[2.989252805709839, 3.1414883136749268, -7.796968460083008, -4.801268100738525]"
2dm-2921,"[1.8727999925613403, -5.033100128173828, -3.1603000164031982]","[3.814891815185547, 3.986400842666626, -8.231444358825684, -4.417103290557861]"
2dm-2922,"[0.0, nan, nan]","[0.1732165813446045, 0.17741429805755615, -5.247028827667236, -5.051380634307861]"
2dm-2923,"[0.027699947357177734, -1.2221999168395996, -1.1944999694824219]","[1.0543686151504517, 1.069300889968872, -6.068892955780029, -4.9876203536987305]"
2dm-2924,"[0.0, nan, nan]","[0.0636364221572876, 0.045180320739746094, -4.572869300842285, -4.458074569702148]"
2dm-2925,"[0.0, nan, nan]","[0.04951667785644531, 0.04698991775512695, -4.196142196655273, -4.1295166015625]"
2dm-2926,"[0.0, nan, nan]","[1.6238864660263062, 1.7954497337341309, -7.093820571899414, -5.44580078125]"
2dm-2927,"[2.330699920654297, -4.995999813079834, -2.665299892425537]","[3.73250150680542, 3.815110683441162, -7.797825336456299, -4.067915916442871]"
2dm-2928,"[0.0, nan, nan]","[0.4665278196334839, 0.5929005146026611, -4.965102672576904, -4.4896650314331055]"
2dm-2929,"[1.3944000005722046, -4.554900169372559, -3.1605000495910645]","[1.5790257453918457, 1.6289130449295044, -5.86775016784668, -4.27607536315918]"
2dm-2930,"[0.9699000120162964, -5.02810001373291, -4.058199882507324]","[2.450833559036255, 2.6615123748779297, -6.643080711364746, -4.175312042236328]"
2dm-2931,"[0.3260999917984009, -1.0339999198913574, -0.7079000473022461]","[1.0296299457550049, 1.0875709056854248, -5.706357955932617, -4.652050971984863]"
2dm-2932,"[0.703000009059906, -1.676300048828125, -0.9732999801635742]","[1.527170181274414, 1.6075869798660278, -5.216300964355469, -3.6816697120666504]"
2dm-2933,"[0.03620004653930664, -4.313600063323975, -4.277400016784668]","[1.324872374534607, 1.511871576309204, -6.098884582519531, -4.762183666229248]"
2dm-2934,"[0.0, nan, nan]","[0.0145188570022583, 0.021616220474243164, -4.582422733306885, -4.5630388259887695]"
2dm-2935,"[0.0, nan, nan]","[0.5701737403869629, 0.5760502815246582, -4.896359443664551, -4.294308185577393]"
2dm-2936,"[0.5861999988555908, -1.8803000450134277, -1.294100046157837]","[1.4107306003570557, 1.4595634937286377, -6.419412136077881, -4.981499195098877]"
2dm-2937,"[0.0, nan, nan]","[0.5811653137207031, 0.6100521087646484, -5.2339019775390625, -4.624679088592529]"
2dm-2938,"[4.017000198364258, -4.973599910736084, -0.9565999507904053]","[6.246369361877441, 6.243441581726074, -8.671110153198242, -2.410911798477173]"
2dm-2939,"[0.9452999830245972, -4.102200031280518, -3.156899929046631]","[1.514901876449585, 1.7973663806915283, -5.813187599182129, -4.292724132537842]"
2dm-6458,"[0.1821000576019287, -3.7460999488830566, -3.563999891281128]","[1.1119625568389893, 1.4124701023101807, -7.505817890167236, -6.329754829406738]"
2dm-2941,"[0.32829999923706055, -1.4356000423431396, -1.107300043106079]","[1.1876952648162842, 1.1474889516830444, -5.6239542961120605, -4.432511806488037]"
2dm-2942,"[2.1092000007629395, -3.3499999046325684, -1.2408000230789185]","[3.197075366973877, 3.5043458938598633, -6.153493881225586, -2.9444689750671387]"
2dm-2943,"[2.476900100708008, -3.705899953842163, -1.2289999723434448]","[3.7595713138580322, 4.266249656677246, -8.00971508026123, -4.2634429931640625]"
2dm-2944,"[0.0, nan, nan]","[0.019615888595581055, 0.029397010803222656, -4.249077796936035, -4.1901469230651855]"
2dm-2945,"[0.0, nan, nan]","[0.05372583866119385, 0.047200679779052734, -3.8666017055511475, -3.7421622276306152]"
2dm-2946,"[0.0, nan, nan]","[0.07579755783081055, 0.0700368881225586, -4.045207977294922, -3.9158987998962402]"
2dm-2947,"[0.0, nan, nan]","[0.016580939292907715, 0.029184341430664062, -4.176360130310059, -4.134498596191406]"
2dm-2948,"[0.23180007934570312, -2.4330999851226807, -2.2012999057769775]","[0.8468260765075684, 0.8616187572479248, -5.171584129333496, -4.327606201171875]"
2dm-2949,"[3.4412999153137207, -1.478600025177002, 1.9626998901367188]","[5.905233383178711, 6.125166893005371, -6.651117324829102, -0.7375633716583252]"
2dm-2950,"[1.2747999429702759, -2.1552999019622803, -0.880500078201294]","[2.7172799110412598, 3.077889919281006, -7.135787010192871, -4.412870407104492]"
2dm-2951,"[0.4846000075340271, -1.7588000297546387, -1.2741999626159668]","[0.9890475273132324, 0.938939094543457, -5.203065395355225, -4.149850368499756]"
2dm-2952,"[0.24900001287460327, -1.8509001731872559, -1.6018999814987183]","[0.785393476486206, 0.8411868810653687, -5.171088218688965, -4.377365589141846]"
2dm-2953,"[0.0, nan, nan]","[0.08210396766662598, 0.09254217147827148, -4.164419174194336, -4.033032417297363]"
2dm-2954,"[2.8004000186920166, -4.936100006103516, -2.135699987411499]","[3.9254393577575684, 4.001921653747559, -7.232660293579102, -3.31013822555542]"
2dm-2955,"[0.0, nan, nan]","[0.038220882415771484, 0.0322575569152832, -4.012192726135254, -3.9094088077545166]"
2dm-2956,"[0.0, nan, nan]","[0.20074617862701416, 0.20856475830078125, -4.403337001800537, -4.163545608520508]"
2dm-2957,"[0.3238999843597412, -2.095099925994873, -1.7711999416351318]","[1.6523585319519043, 1.6455154418945312, -5.0054030418396, -3.3673501014709473]"
2dm-2958,"[0.0, nan, nan]","[0.06167495250701904, 0.06204700469970703, -4.382095813751221, -4.268680572509766]"
2dm-2959,"[1.3502000570297241, -2.929800033569336, -1.5795999765396118]","[2.0888688564300537, 2.3183891773223877, -5.254799842834473, -3.151735544204712]"
2dm-2960,"[0.0, nan, nan]","[0.08612871170043945, 0.0849452018737793, -4.213635444641113, -4.093080997467041]"
2dm-2961,"[0.0, nan, nan]","[0.036299705505371094, 0.032939910888671875, -4.131653785705566, -4.022754192352295]"
2dm-2962,"[0.5425999760627747, -1.845099925994873, -1.3025000095367432]","[0.751407265663147, 0.7048535346984863, -5.367171287536621, -4.594944477081299]"
2dm-2963,"[1.0827000141143799, -1.562999963760376, -0.48029983043670654]","[1.2142035961151123, 1.0836893320083618, -5.427435398101807, -4.140251636505127]"
2dm-2964,"[0.0, nan, nan]","[0.07702159881591797, 0.09476971626281738, -4.191372871398926, -4.044590473175049]"
2dm-2965,"[0.0, nan, nan]","[0.04723024368286133, 0.04131650924682617, -3.9083738327026367, -3.776771068572998]"
2dm-2966,"[0.0, nan, nan]","[0.09404158592224121, 0.07967495918273926, -4.478130340576172, -4.297091484069824]"
2dm-2967,"[0.0, nan, nan]","[0.8336529731750488, 0.9730722904205322, -5.278200149536133, -4.429888725280762]"
2dm-2968,"[0.8715999722480774, -2.7795000076293945, -1.9078999757766724]","[1.6415380239486694, 1.754939079284668, -5.488248825073242, -3.8285937309265137]"
2dm-2969,"[0.0, nan, nan]","[0.07646512985229492, 0.08989095687866211, -4.5891265869140625, -4.417511940002441]"
2dm-2970,"[0.0, nan, nan]","[0.06588327884674072, 0.07833385467529297, -4.270540714263916, -4.201426982879639]"
2dm-2971,"[0.6434999704360962, -2.1903998851776123, -1.5469000339508057]","[1.2341926097869873, 1.2318685054779053, -5.6125054359436035, -4.379457473754883]"
2dm-2972,"[0.0, nan, nan]","[0.12300300598144531, 0.12076830863952637, -4.752723693847656, -4.570707321166992]"
2dm-2973,"[2.4321000576019287, -3.5171000957489014, -1.0850000381469727]","[3.427401065826416, 3.6588306427001953, -6.0113630294799805, -2.565070152282715]"
2dm-2974,"[0.3116999864578247, -2.014699935913086, -1.7029999494552612]","[1.7547894716262817, 1.9187324047088623, -5.353031158447266, -3.6201298236846924]"
2dm-2975,"[0.10490000247955322, -1.3600001335144043, -1.2551000118255615]","[1.8085588216781616, 2.2290122509002686, -4.955451965332031, -3.1573071479797363]"
2dm-2976,"[4.620999813079834, -2.512700080871582, 2.108299732208252]","[6.442897796630859, 6.856581687927246, -8.167106628417969, -1.7094712257385254]"
2dm-2977,"[0.0, nan, nan]","[0.6666312217712402, 0.7795944213867188, -5.227766036987305, -4.542322158813477]"
2dm-2978,"[0.0, nan, nan]","[0.057556986808776855, 0.05977129936218262, -4.623131275177002, -4.518855571746826]"
2dm-2979,"[2.535900115966797, -4.917500019073486, -2.3815999031066895]","[3.4893085956573486, 3.577507972717285, -6.853575706481934, -3.360290288925171]"
2dm-2980,"[0.0, nan, nan]","[0.1903146505355835, 0.18656408786773682, -4.52214241027832, -4.268052577972412]"
2dm-2981,"[0.4077000021934509, -1.45989990234375, -1.0521999597549438]","[0.9357094764709473, 0.9331399202346802, -4.6756062507629395, -3.7496418952941895]"
2dm-2982,"[0.0, nan, nan]","[0.12802398204803467, 0.1496734619140625, -4.287188529968262, -4.153980731964111]"
2dm-2983,"[0.0, nan, nan]","[0.07119905948638916, 0.08419394493103027, -5.073453426361084, -4.906005859375]"
2dm-2984,"[3.9397997856140137, -6.283299922943115, -2.3434998989105225]","[5.170498847961426, 5.159004211425781, -8.014835357666016, -2.828507900238037]"
2dm-2985,"[0.0, nan, nan]","[0.04791462421417236, 0.04621529579162598, -4.04478645324707, -3.92069673538208]"
2dm-2986,"[0.0, nan, nan]","[0.09215152263641357, 0.1036977767944336, -4.122196197509766, -3.9805209636688232]"
2dm-2987,"[0.0, nan, nan]","[0.0597689151763916, 0.048258066177368164, -3.930440902709961, -3.809946060180664]"
2dm-2988,"[0.0, nan, nan]","[0.09003782272338867, 0.0882880687713623, -4.289444923400879, -4.158591270446777]"
2dm-2989,"[0.0, nan, nan]","[0.07615292072296143, 0.09426450729370117, -4.093569755554199, -3.993622303009033]"
2dm-2990,"[0.0, nan, nan]","[0.14153432846069336, 0.13098716735839844, -5.002020835876465, -4.8242902755737305]"
2dm-2991,"[0.0, nan, nan]","[0.23764681816101074, 0.3728126287460327, -4.552619934082031, -4.218146800994873]"
2dm-2992,"[2.1591999530792236, -4.19789981842041, -2.0387001037597656]","[3.062547445297241, 3.4806694984436035, -6.215531826019287, -3.159359931945801]"
2dm-2993,"[0.0, nan, nan]","[0.05961465835571289, 0.045745849609375, -4.221850872039795, -4.089365482330322]"
2dm-2994,"[0.0, nan, nan]","[0.02567732334136963, 0.011301517486572266, -4.461280822753906, -4.347970008850098]"
2dm-2995,"[0.6615999937057495, -1.088900089263916, -0.42729997634887695]","[0.6293548345565796, 0.8574634790420532, -5.095754623413086, -4.47121000289917]"
2dm-2996,"[0.0, nan, nan]","[0.08576607704162598, 0.08913469314575195, -4.309798717498779, -4.185295104980469]"
2dm-2997,"[0.0, nan, nan]","[0.31480610370635986, 0.351564884185791, -5.694447994232178, -5.287044525146484]"
2dm-2998,"[0.0, nan, nan]","[0.01704549789428711, 0.0007269382476806641, -4.557537078857422, -4.551198959350586]"
2dm-2999,"[1.0571999549865723, -0.5879001617431641, 0.4693000316619873]","[2.619950532913208, 2.849027633666992, -5.966987609863281, -3.3294589519500732]"
2dm-3000,"[0.0, nan, nan]","[0.05113399028778076, 0.06372499465942383, -4.3269147872924805, -4.237745761871338]"
2dm-3001,"[0.0, nan, nan]","[0.3497406244277954, 0.41505253314971924, -4.081058502197266, -3.7543869018554688]"
2dm-3002,"[0.0, nan, nan]","[0.018696904182434082, 0.07275009155273438, -4.195682525634766, -4.172793865203857]"
2dm-3003,"[0.0, nan, nan]","[0.12372684478759766, 0.20477449893951416, -4.617465019226074, -4.424963474273682]"
2dm-3004,"[0.0, nan, nan]","[0.020119071006774902, 0.02396845817565918, -3.8341286182403564, -3.8334360122680664]"
2dm-3005,"[0.0, nan, nan]","[0.02292799949645996, 0.06925249099731445, -4.213552474975586, -4.202157497406006]"
2dm-3006,"[0.0, nan, nan]","[0.028147101402282715, 0.038823843002319336, -4.2952141761779785, -4.252902030944824]"
2dm-3007,"[0.0, nan, nan]","[0.01809513568878174, 0.054952383041381836, -4.632678985595703, -4.626269340515137]"
2dm-3008,"[0.0, nan, nan]","[0.03256487846374512, 0.07114195823669434, -4.62850284576416, -4.555109977722168]"
2dm-3009,"[0.0, nan, nan]","[0.01007843017578125, 0.01271820068359375, -4.27964973449707, -4.274378299713135]"
2dm-3010,"[1.1445000171661377, -1.2477998733520508, -0.10330009460449219]","[1.7606207132339478, 2.2286996841430664, -4.703217029571533, -2.9234418869018555]"
2dm-3011,"[0.0, nan, nan]","[0.7960315942764282, 1.0379680395126343, -5.949737071990967, -5.131569862365723]"
2dm-3012,"[0.0, nan, nan]","[0.4002722501754761, 0.5674885511398315, -5.673045635223389, -5.18511962890625]"
2dm-3013,"[2.2286999225616455, -3.9098000526428223, -1.6811000108718872]","[2.5726687908172607, 2.765817880630493, -6.250655651092529, -3.681535005569458]"
2dm-3014,"[0.0, nan, nan]","[0.36015069484710693, 0.4392746686935425, -5.142377853393555, -4.667458534240723]"
2dm-3015,"[0.0, nan, nan]","[0.006403923034667969, 0.013542890548706055, -4.503986835479736, -4.471475124359131]"
2dm-3016,"[0.0, nan, nan]","[0.7469066381454468, 0.8216633796691895, -7.211030960083008, -6.349977970123291]"
2dm-3017,"[1.2152999639511108, -3.9110000133514404, -2.69569993019104]","[2.007756233215332, 2.5612564086914062, -6.302063465118408, -4.290388107299805]"
2dm-3018,"[0.17830002307891846, -2.9333999156951904, -2.7551000118255615]","[1.1862523555755615, 1.344672679901123, -6.000673770904541, -4.805089950561523]"
2dm-3019,"[0.0, nan, nan]","[0.02613997459411621, 0.06961226463317871, -5.185572147369385, -5.144301414489746]"
2dm-3020,"[1.246899962425232, -2.556999921798706, -1.3100998401641846]","[1.7108269929885864, 1.7576076984405518, -5.587917327880859, -3.868433713912964]"
2dm-3021,"[0.8133000135421753, -3.178100109100342, -2.364799976348877]","[2.112891674041748, 2.8644678592681885, -5.4749755859375, -3.3621938228607178]"
2dm-3022,"[0.0, nan, nan]","[0.06518316268920898, 0.0485539436340332, -4.2473578453063965, -4.142634391784668]"
2dm-3023,"[0.0, nan, nan]","[0.02184140682220459, 0.028983592987060547, -4.3606462478637695, -4.307565689086914]"
2dm-3024,"[0.0, nan, nan]","[0.015203356742858887, 0.005410194396972656, -4.529189109802246, -4.471238136291504]"
2dm-3025,"[0.19979995489120483, -3.2685999870300293, -3.0687999725341797]","[1.1890606880187988, 1.2082746028900146, -5.675060272216797, -4.471285343170166]"
2dm-3026,"[0.0, nan, nan]","[0.9800728559494019, 1.1051050424575806, -6.146551609039307, -5.15714168548584]"
2dm-3027,"[0.0, nan, nan]","[0.33116209506988525, 0.48448169231414795, -5.025448799133301, -4.574456214904785]"
2dm-3028,"[0.0, nan, nan]","[0.2730008363723755, 0.3471865653991699, -5.054101943969727, -4.715615272521973]"
2dm-3029,"[0.0, nan, nan]","[1.176419734954834, 1.3663570880889893, -6.038951873779297, -4.858328819274902]"
2dm-3030,"[3.7000999450683594, -3.900599956512451, -0.2005000114440918]","[3.9464974403381348, 4.030365467071533, -6.83833646774292, -2.8884410858154297]"
2dm-3031,"[0.03139996528625488, -2.3601999282836914, -2.3287999629974365]","[0.16103756427764893, 0.20271801948547363, -5.102518081665039, -4.905303001403809]"
2dm-3032,"[0.0, nan, nan]","[0.05093348026275635, 0.05702948570251465, -4.278059959411621, -4.192880630493164]"
2dm-3033,"[0.0, nan, nan]","[0.0005784034729003906, 0.010752201080322266, -4.463156700134277, -4.466088771820068]"
2dm-3034,"[2.1168999671936035, -4.261199951171875, -2.1442999839782715]","[3.2723746299743652, 3.533205509185791, -7.073756694793701, -3.805429697036743]"
2dm-3035,"[0.0, nan, nan]","[0.0042324066162109375, 0.0013360977172851562, -4.3384246826171875, -4.330456733703613]"
2dm-3036,"[0.0, nan, nan]","[0.10667932033538818, 0.09613204002380371, -4.213270664215088, -4.078177452087402]"
2dm-3037,"[0.0, nan, nan]","[0.00397491455078125, 0.003688335418701172, -4.416335105895996, -4.39973258972168]"
2dm-3038,"[0.0, nan, nan]","[0.47027885913848877, 0.5159229040145874, -5.113081932067871, -4.562352657318115]"
2dm-3039,"[0.0, nan, nan]","[0.6505589485168457, 0.7628985643386841, -5.734424114227295, -5.03697395324707]"
2dm-3040,"[0.0, nan, nan]","[0.0635676383972168, 0.11134672164916992, -4.443288803100586, -4.360446453094482]"
2dm-3041,"[1.0621000528335571, -4.256800174713135, -3.194700002670288]","[2.3226511478424072, 2.492448329925537, -6.569027423858643, -4.255012035369873]"
2dm-3042,"[0.0, nan, nan]","[0.01548004150390625, 0.008756399154663086, -4.384769439697266, -4.3147735595703125]"
2dm-3043,"[1.9673000574111938, -4.100200176239014, -2.1328999996185303]","[2.736501932144165, 3.00626277923584, -6.675861358642578, -3.9351110458374023]"
2dm-3044,"[0.0, nan, nan]","[0.07172608375549316, 0.07487726211547852, -4.138060092926025, -4.019148826599121]"
2dm-3045,"[1.700700044631958, -1.9773998260498047, -0.2767000198364258]","[1.9921438694000244, 2.034768581390381, -5.185859680175781, -3.207819938659668]"
2dm-3046,"[0.2801000475883484, -5.654699802398682, -5.374599933624268]","[2.0913052558898926, 2.2168173789978027, -7.784834861755371, -5.67486572265625]"
2dm-3047,"[0.0, nan, nan]","[3.2259931564331055, 3.4859976768493652, -6.863839149475098, -3.629575252532959]"
2dm-3048,"[0.03059995174407959, -1.9177000522613525, -1.8870999813079834]","[1.0477886199951172, 1.2076092958450317, -5.432461261749268, -4.378724575042725]"
2dm-3049,"[0.0, nan, nan]","[0.05409705638885498, 0.06089496612548828, -5.215276718139648, -5.141584396362305]"
2dm-3050,"[1.0613000392913818, -1.2951998710632324, -0.23389995098114014]","[1.1779510974884033, 1.1580166816711426, -4.57155704498291, -3.3988451957702637]"
2dm-3051,"[0.0, nan, nan]","[0.029168128967285156, 0.009192466735839844, -4.443304061889648, -4.428404331207275]"
2dm-3052,"[0.0, nan, nan]","[0.020560145378112793, 0.025629043579101562, -4.359466075897217, -4.313271522521973]"
2dm-3053,"[0.0, nan, nan]","[0.011597275733947754, 0.06029844284057617, -4.285117149353027, -4.2682976722717285]"
2dm-3054,"[0.8246999979019165, -4.104700088500977, -3.2799999713897705]","[1.8851290941238403, 2.023418426513672, -6.32943868637085, -4.4372758865356445]"
2dm-3055,"[0.0, nan, nan]","[0.06309950351715088, 0.10655713081359863, -4.430191993713379, -4.32843542098999]"
